,batch_size,input_dim,output_dim,device,t_dense,t_sparse,mem_dense,mem_sparse
71,8,1,20,cuda:0,6.307456642389298e-05,4.113009199500084e-05,1024000,0
72,8,2,1,cpu,4.879171028733253e-05,4.0829740464687346e-05,288,0
73,8,2,1,cuda:0,4.732515662908554e-05,3.985892981290817e-05,288,0
74,8,2,2,cpu,4.598414525389671e-05,4.1046272963285445e-05,2304,0
75,8,2,2,cuda:0,5.040513351559639e-05,4.045953974127769e-05,2304,0
76,8,2,10,cpu,6.475774571299553e-05,4.101824015378952e-05,288000,0
77,8,2,10,cuda:0,6.308844313025474e-05,4.006857052445412e-05,288000,0
78,8,2,20,cpu,9.60400328040123e-05,4.107411950826645e-05,2304000,0
79,8,2,20,cuda:0,6.66014850139618e-05,4.1262805461883544e-05,2304000,0
80,8,10,1,cpu,4.787687212228775e-05,4.1116029024124146e-05,3872,0
81,8,10,1,cuda:0,4.48247417807579e-05,3.5759247839450833e-05,3872,0
82,8,10,2,cpu,4.908498376607895e-05,4.10950742661953e-05,30976,0
83,8,10,2,cuda:0,4.763239994645119e-05,4.055732861161232e-05,30976,0
84,8,10,10,cpu,7.593240588903427e-05,4.170974716544151e-05,3872000,0
85,8,10,10,cuda:0,7.019843906164169e-05,4.223352298140526e-05,3872000,0
86,8,10,20,cpu,0.0007281395606696606,4.6493951231241226e-05,30976000,0
87,8,10,20,cuda:0,0.0005965287797152996,4.6905968338251115e-05,30976000,0
88,8,20,1,cpu,4.9608852714300154e-05,4.1116029024124146e-05,14112,0
89,8,20,1,cuda:0,4.552314057946205e-05,4.092743620276451e-05,14112,0
90,8,20,2,cpu,5.3038075566291806e-05,4.087863489985466e-05,112896,0
91,8,20,2,cuda:0,5.123624578118324e-05,3.770776093006134e-05,112896,0
92,8,20,10,cpu,0.00013464866206049919,4.0543451905250547e-05,14112000,0
93,8,20,10,cuda:0,9.935051202774048e-05,4.138853400945663e-05,14112000,0
94,8,20,20,cpu,0.014802375063300132,5.396008491516113e-05,112896000,0
95,8,20,20,cuda:0,0.01488112211227417,5.078930407762527e-05,112896000,0
96,16,1,1,cpu,4.8840604722499845e-05,4.103230312466621e-05,256,0
97,16,1,1,cuda:0,4.483172670006752e-05,3.922339528799057e-05,256,0
98,16,1,2,cpu,4.592826589941978e-05,4.023611545562744e-05,2048,0
99,16,1,2,cuda:0,4.6549737453460695e-05,4.0850695222616194e-05,2048,0
100,16,1,10,cpu,6.556091830134392e-05,3.9851944893598554e-05,256000,0
101,16,1,10,cuda:0,6.31582923233509e-05,3.895796835422516e-05,256000,0
102,16,1,20,cpu,6.885044276714325e-05,4.106014966964722e-05,2048000,0
103,16,1,20,cuda:0,6.67341984808445e-05,4.0138326585292813e-05,2048000,0
104,16,2,1,cpu,4.601906985044479e-05,4.066210240125656e-05,576,0
105,16,2,1,cuda:0,4.5802537351846694e-05,4.036175087094307e-05,576,0
106,16,2,2,cpu,4.7618336975574496e-05,4.011029377579689e-05,4608,0
107,16,2,2,cuda:0,4.741586744785309e-05,3.941198810935021e-05,4608,0
108,16,2,10,cpu,6.453413516283035e-05,4.344182088971138e-05,576000,0
109,16,2,10,cuda:0,6.283698603510856e-05,4.096943885087967e-05,576000,0
110,16,2,20,cpu,7.948726415634156e-05,4.116501659154892e-05,4608000,0
111,16,2,20,cuda:0,8.03953967988491e-05,4.191221669316292e-05,4608000,0
112,16,10,1,cpu,4.6514905989170074e-05,4.155607894062996e-05,7744,0
113,16,10,1,cuda:0,4.768827930092812e-05,4.137447103857994e-05,7744,0
114,16,10,2,cpu,5.201147869229317e-05,4.208683967590332e-05,61952,0
115,16,10,2,cuda:0,5.23536466062069e-05,4.225447773933411e-05,61952,0
116,16,10,10,cpu,9.942026808857918e-05,4.126988351345062e-05,7744000,0
117,16,10,10,cuda:0,8.25953669846058e-05,4.2149703949689866e-05,7744000,0
118,16,10,20,cpu,0.007171728182584047,5.223490297794342e-05,61952000,0
119,16,10,20,cuda:0,0.00673860888928175,5.381330847740173e-05,61952000,0
120,16,20,1,cpu,4.8512406647205355e-05,4.106722772121429e-05,28224,0
121,16,20,1,cuda:0,4.879869520664215e-05,3.8308463990688325e-05,28224,0
122,16,20,2,cpu,6.428966298699379e-05,3.7114042788743974e-05,225792,0
123,16,20,2,cuda:0,6.254361942410469e-05,4.076696932315826e-05,225792,0
124,16,20,10,cpu,0.0005416120402514935,4.154210910201073e-05,28224000,0
125,16,20,10,cuda:0,0.0004705405794084072,4.314146935939789e-05,28224000,0
126,16,20,20,cpu,0.03152366355061531,4.710853099822998e-05,225792000,0
127,16,20,20,cuda:0,0.027815505769103764,4.62215393781662e-05,225792000,0
128,32,1,1,cpu,4.242910072207451e-05,3.53960320353508e-05,512,0
129,32,1,1,cuda:0,4.435675218701362e-05,3.540301695466041e-05,512,0
130,32,1,2,cpu,4.138154909014702e-05,3.543784841895103e-05,4096,0
131,32,1,2,cuda:0,4.1437242180109025e-05,3.5312119871377944e-05,4096,0
132,32,1,10,cpu,6.185919046401978e-05,3.573130816221237e-05,512000,0
133,32,1,10,cuda:0,5.648145452141762e-05,3.566136583685875e-05,512000,0
134,32,1,20,cpu,7.310379296541215e-05,3.5773217678070066e-05,4096000,0
135,32,1,20,cuda:0,6.43385574221611e-05,3.5647395998239516e-05,4096000,0
136,32,2,1,cpu,4.140939563512802e-05,3.5326089709997176e-05,1152,0
137,32,2,1,cuda:0,4.125582054257393e-05,3.5326089709997176e-05,1152,0
138,32,2,2,cpu,4.138145595788956e-05,3.501195460557938e-05,9216,0
139,32,2,2,cuda:0,4.1297636926174164e-05,3.537498414516449e-05,9216,0
140,32,2,10,cpu,5.921227857470512e-05,3.527738153934479e-05,1152000,0
141,32,2,10,cuda:0,5.980571731925011e-05,3.53541225194931e-05,1152000,0
142,32,2,20,cpu,9.381892159581185e-05,3.5361107438802716e-05,9216000,0
143,32,2,20,cuda:0,7.559722289443016e-05,3.559151664376259e-05,9216000,0
144,32,10,1,cpu,4.164697602391243e-05,3.520743921399116e-05,15488,0
145,32,10,1,cuda:0,4.160497337579727e-05,3.527728840708732e-05,15488,0
146,32,10,2,cpu,4.6514905989170074e-05,3.8434099406003955e-05,123904,0
147,32,10,2,cuda:0,4.585832357406616e-05,3.520753234624863e-05,123904,0
148,32,10,10,cpu,0.00012137163430452347,3.5773217678070066e-05,15488000,0
149,32,10,10,cuda:0,9.58932563662529e-05,3.569629043340683e-05,15488000,0
150,32,10,20,cpu,0.011122524458914994,4.731100052595139e-05,123904000,0
151,32,10,20,cuda:0,0.010005881078541279,4.721330478787422e-05,123904000,0
152,32,20,1,cpu,4.467815160751343e-05,3.6771874874830246e-05,56448,0
153,32,20,1,cuda:0,4.372820258140564e-05,3.53541225194931e-05,56448,0
154,32,20,2,cpu,6.134239956736564e-05,3.537507727742195e-05,451584,0
155,32,20,2,cuda:0,6.012711673974991e-05,3.543794155120849e-05,451584,0
156,32,20,10,cpu,0.004506921488791704,4.610978066921234e-05,56448000,0
157,32,20,10,cuda:0,0.004419395420700312,4.8407632857561114e-05,56448000,0
158,32,20,20,cpu,0.049331060238182546,4.653595387935638e-05,451584000,0
159,32,20,20,cuda:0,0.046506629511713984,4.700375720858574e-05,451584000,0
