,batch_size,input_dim,output_dim,device,t_dense,t_sparse,mem_dense,mem_sparse
26,1,20,2,cpu,4.966482520103454e-05,0.00032037291675806044,160,800
27,1,20,2,cuda:0,5.046101287007332e-05,0.0003074591979384422,160,800
28,1,20,10,cpu,5.068434402346611e-05,0.0003416050225496292,800,4000
29,1,20,10,cuda:0,5.0998665392398836e-05,0.0003482400439679623,800,4000
30,1,20,20,cpu,5.266806110739708e-05,0.00037218183279037477,1600,8000
31,1,20,20,cuda:0,5.275169387459755e-05,0.00037102950736880305,1600,8000
32,2,1,1,cpu,5.3289439529180525e-05,0.0002991200424730778,16,40
33,2,1,1,cuda:0,5.447687581181526e-05,0.00029928060248494146,16,40
34,2,1,2,cpu,5.3198635578155516e-05,0.00031704148277640344,32,80
35,2,1,2,cuda:0,5.280766636133194e-05,0.0003012361936271191,32,80
36,2,1,10,cpu,5.661407485604286e-05,0.00030519627034664154,160,400
37,2,1,10,cuda:0,5.5203307420015334e-05,0.00030625080689787864,160,400
38,2,1,20,cpu,5.500763654708862e-05,0.00031655961647629737,320,800
39,2,1,20,cuda:0,5.585281178355217e-05,0.0003085835836827755,320,800
40,2,2,1,cpu,5.5754929780960084e-05,0.0003193882293999195,32,80
41,2,2,1,cuda:0,5.416963249444961e-05,0.00031036464497447014,32,80
42,2,2,2,cpu,4.8016384243965146e-05,0.00030409274622797964,64,160
43,2,2,2,cuda:0,5.9582293033599854e-05,0.0003153863362967968,64,160
44,2,2,10,cpu,5.8094784617424014e-05,0.000359987560659647,320,800
45,2,2,10,cuda:0,5.896063521504402e-05,0.00032839085906744003,320,800
46,2,2,20,cpu,5.56502491235733e-05,0.0003198981285095215,640,1600
47,2,2,20,cuda:0,5.777338519692421e-05,0.0003051684238016605,640,1600
48,2,10,1,cpu,5.460260435938835e-05,0.00031191511079669,160,400
49,2,10,1,cuda:0,5.35130500793457e-05,0.0003037295304238796,160,400
50,2,10,2,cpu,5.481913685798645e-05,0.0003021860495209694,320,800
51,2,10,2,cuda:0,5.3953099995851514e-05,0.0003072844818234444,320,800
52,2,10,10,cpu,5.631381645798683e-05,0.0003306956961750984,1600,4000
53,2,10,10,cuda:0,5.758488550782204e-05,0.0003789006732404232,1600,4000
54,2,10,20,cpu,5.8758165687322615e-05,0.0003578082658350468,3200,8000
55,2,10,20,cuda:0,5.919123068451881e-05,0.00036611258983612063,3200,8000
56,2,20,1,cpu,5.632070824503899e-05,0.0003272314555943012,320,800
57,2,20,1,cuda:0,5.937982350587845e-05,0.0003186339512467384,320,800
58,2,20,2,cpu,5.576200783252716e-05,0.000322056096047163,640,1600
59,2,20,2,cuda:0,5.667684599757195e-05,0.00032264981418848036,640,1600
60,2,20,10,cpu,5.767559632658958e-05,0.0004992876201868057,3200,8000
61,2,20,10,cuda:0,5.609020590782166e-05,0.0003630186431109905,3200,8000
62,2,20,20,cpu,5.8171525597572324e-05,0.0004107067361474037,6400,16000
63,2,20,20,cuda:0,5.419757217168808e-05,0.0004325674846768379,6400,16000
64,8,1,1,cpu,5.62998466193676e-05,0.0003015853464603424,256,160
65,8,1,1,cuda:0,5.219997838139534e-05,0.00029666852205991747,256,160
66,8,1,2,cpu,5.500772967934608e-05,0.0003112656064331532,512,320
67,8,1,2,cuda:0,5.273781716823578e-05,0.00031199874356389044,512,320
68,8,1,10,cpu,5.551055073738098e-05,0.00031903889030218127,2560,1600
69,8,1,10,cuda:0,6.0204043984413146e-05,0.00031704148277640344,2560,1600
70,8,1,20,cpu,5.949847400188446e-05,0.00032732924446463583,5120,3200
71,8,1,20,cuda:0,5.762670189142227e-05,0.0003425966948270798,5120,3200
72,8,2,1,cpu,5.478421226143837e-05,0.00031142625957727434,512,320
73,8,2,1,cuda:0,5.047488957643509e-05,0.00030574798583984377,512,320
74,8,2,2,cpu,5.734739825129509e-05,0.00031313737854361535,1024,640
75,8,2,2,cuda:0,5.949847400188446e-05,0.00031957682222127914,1024,640
76,8,2,10,cpu,7.082698866724967e-05,0.00033571729436516763,5120,3200
77,8,2,10,cuda:0,7.098056375980377e-05,0.0003334125503897667,5120,3200
78,8,2,20,cpu,8.608037605881692e-05,0.0003565441817045212,10240,6400
79,8,2,20,cuda:0,8.639469742774964e-05,0.0004602109082043171,10240,6400
80,8,10,1,cpu,5.597146227955818e-05,0.00032075708732008933,2560,1600
81,8,10,1,cuda:0,5.3987931460142134e-05,0.0003200378268957138,2560,1600
82,8,10,2,cpu,5.9435702860355376e-05,0.00032394882291555407,5120,3200
83,8,10,2,cuda:0,5.560144782066345e-05,0.00033598961308598516,5120,3200
84,8,10,10,cpu,7.116226479411125e-05,0.0004071936942636967,25600,16000
85,8,10,10,cuda:0,7.212599739432335e-05,0.0004072217270731926,25600,16000
86,8,10,20,cpu,8.976822718977928e-05,0.0005456557497382164,51200,32000
87,8,10,20,cuda:0,9.6919946372509e-05,0.0005583880469202995,51200,32000
88,8,20,1,cpu,5.4826121777296065e-05,0.0003278321586549282,5120,3200
89,8,20,1,cuda:0,6.343061104416848e-05,0.00033256039023399353,5120,3200
90,8,20,2,cpu,5.664192140102387e-05,0.0003477022983133793,10240,6400
91,8,20,2,cuda:0,5.606226623058319e-05,0.00034905020147562026,10240,6400
92,8,20,10,cpu,7.017040625214576e-05,0.0005394328385591507,51200,32000
93,8,20,10,cuda:0,7.281051948666572e-05,0.0005299973301589489,51200,32000
