,batch_size,input_dim,output_dim,device,t_dense,t_sparse,mem_dense,mem_sparse
57,2,20,1,cuda:0,0.00010678162798285484,0.00024018026888370514,6720,800
58,2,20,2,cpu,0.0001562020741403103,0.00026328396052122116,26880,1600
59,2,20,2,cuda:0,0.00014481078833341598,0.0002681379206478596,26880,1600
60,2,20,10,cpu,0.0006768263876438141,0.0002942938357591629,672000,8000
61,2,20,10,cuda:0,0.0006969129666686058,0.00029127663001418116,672000,8000
62,2,20,20,cpu,0.0011672929860651494,0.0003344741649925709,2688000,16000
63,2,20,20,cuda:0,0.0011143875308334827,0.00033783353865146637,2688000,16000
64,8,1,1,cpu,9.395163506269455e-05,0.00023487918078899384,512,160
65,8,1,1,cuda:0,9.122779592871666e-05,0.0002454741857945919,512,160
66,8,1,2,cpu,9.963680058717727e-05,0.0002532895654439926,2048,320
67,8,1,2,cuda:0,9.85543243587017e-05,0.0002566838636994362,2048,320
68,8,1,10,cpu,0.00012054760009050369,0.00025824131444096565,51200,1600
69,8,1,10,cuda:0,0.00012001674622297287,0.00026274630799889566,51200,1600
70,8,1,20,cpu,0.0001898171380162239,0.00026542115956544875,204800,3200
71,8,1,20,cuda:0,0.00014586541801691054,0.0002711481414735317,204800,3200
72,8,2,1,cpu,0.00011098627001047135,0.00025598546490073203,1536,320
73,8,2,1,cuda:0,0.00010640453547239304,0.00026361923664808273,1536,320
74,8,2,2,cpu,0.00012347400188446046,0.0002588210627436638,6144,640
75,8,2,2,cuda:0,0.00012248922139406203,0.00025326162576675413,6144,640
76,8,2,10,cpu,0.00026204781606793405,0.00028091901913285255,153600,3200
77,8,2,10,cuda:0,0.00025833211839199066,0.0002777273766696453,153600,3200
78,8,2,20,cpu,0.0006059505976736546,0.00029485262930393217,614400,6400
79,8,2,20,cuda:0,0.0005874494090676308,0.00029357457533478736,614400,6400
80,8,10,1,cpu,0.0001174955628812313,0.0002519415691494942,28160,1600
81,8,10,1,cuda:0,0.00011608460918068885,0.0002629697322845459,28160,1600
82,8,10,2,cpu,0.00025121532380580904,0.00025297533720731736,112640,3200
83,8,10,2,cuda:0,0.0002155887894332409,0.0002745773643255234,112640,3200
84,8,10,10,cpu,0.0007378336042165757,0.00032591139897704126,2816000,16000
85,8,10,10,cuda:0,0.0006991478614509106,0.00034290412440896034,2816000,16000
86,8,10,20,cpu,0.002470966801047325,0.0004357033409178257,11264000,32000
87,8,10,20,cuda:0,0.0021787610836327075,0.00042746197432279586,11264000,32000
88,8,20,1,cpu,0.00014718538150191308,0.00027091773226857186,107520,3200
89,8,20,1,cuda:0,0.00014729714021086693,0.0002713577821850777,107520,3200
90,8,20,2,cpu,0.0004332658834755421,0.00028823167085647585,430080,6400
91,8,20,2,cuda:0,0.00042593246325850487,0.000285479798913002,430080,6400
92,8,20,10,cpu,0.002093218546360731,0.0004337128251791,10752000,32000
93,8,20,10,cuda:0,0.002067516464740038,0.0004296060651540756,10752000,32000
94,8,20,20,cpu,0.018617063481360673,0.0006043163128197193,43008000,64000
95,8,20,20,cuda:0,0.018356552254408597,0.0006701285950839519,43008000,64000
96,16,1,1,cpu,0.00013131722807884215,0.00031498102471232413,2048,320
97,16,1,1,cuda:0,9.963680058717727e-05,0.00023305630311369895,2048,320
98,16,1,2,cpu,0.00012302696704864503,0.0003326372243463993,8192,640
99,16,1,2,cuda:0,0.00011814497411251068,0.00025035617873072626,8192,640
100,16,1,10,cpu,0.00022320160642266273,0.00030716592445969584,204800,3200
101,16,1,10,cuda:0,0.00016956981271505357,0.00031742556020617483,204800,3200
102,16,1,20,cpu,0.0003727896139025688,0.000330248661339283,819200,6400
103,16,1,20,cuda:0,0.0002955440431833267,0.0003151766955852509,819200,6400
