,batch_size,input_dim,output_dim,device,t_dense,t_sparse,mem_dense,mem_sparse
115,16,10,2,cuda:0,5.570603534579277e-05,3.167353570461273e-05,3276800,0
116,16,10,10,cpu,0.0001066909171640873,3.425758332014084e-05,16384000,0
117,16,10,10,cuda:0,9.411936625838279e-05,3.193877637386322e-05,16384000,0
118,16,10,20,cpu,0.0004334124736487865,2.991342917084694e-05,32768000,0
119,16,10,20,cuda:0,0.00036670612171292306,3.251144662499428e-05,32768000,0
120,16,20,1,cpu,8.07514414191246e-05,3.04441899061203e-05,6553600,0
121,16,20,1,cuda:0,6.310241296887397e-05,3.0870363116264346e-05,6553600,0
122,16,20,2,cpu,0.00010166922584176064,2.7105771005153655e-05,13107200,0
123,16,20,2,cuda:0,7.73431733250618e-05,2.971794456243515e-05,13107200,0
124,16,20,10,cpu,0.0060983519069850445,3.9921700954437255e-05,65536000,0
125,16,20,10,cuda:0,0.006091381702572107,3.6827847361564635e-05,65536000,0
126,16,20,20,cpu,0.015077665075659752,3.99845652282238e-05,131072000,0
127,16,20,20,cuda:0,0.01508592739701271,4.064114764332771e-05,131072000,0
128,32,1,1,cpu,4.720641300082207e-05,3.0060112476348876e-05,131072,0
129,32,1,1,cuda:0,4.48247417807579e-05,2.9976293444633483e-05,131072,0
130,32,1,2,cpu,5.5629294365644455e-05,2.9752869158983232e-05,262144,0
131,32,1,2,cuda:0,5.057975649833679e-05,2.994826063513756e-05,262144,0
132,32,1,10,cpu,5.761273205280304e-05,3.0025187879800796e-05,1310720,0
133,32,1,10,cuda:0,5.220705643296242e-05,2.9564090073108674e-05,1310720,0
134,32,1,20,cpu,5.4665468633174895e-05,2.9731914401054384e-05,2621440,0
135,32,1,20,cuda:0,5.1194336265325546e-05,2.975277602672577e-05,2621440,0
136,32,2,1,cpu,5.648136138916016e-05,2.9773637652397156e-05,524288,0
137,32,2,1,cuda:0,5.032820627093315e-05,2.9724929481744768e-05,524288,0
138,32,2,2,cpu,5.173906683921814e-05,2.978052943944931e-05,1048576,0
139,32,2,2,cuda:0,5.201157182455063e-05,2.977382391691208e-05,1048576,0
140,32,2,10,cpu,6.664339452981949e-05,3.085630014538765e-05,5242880,0
141,32,2,10,cuda:0,6.0916319489479066e-05,3.005312755703926e-05,5242880,0
142,32,2,20,cpu,9.09135676920414e-05,3.1771231442689894e-05,10485760,0
143,32,2,20,cuda:0,7.259398698806762e-05,3.237174823880196e-05,10485760,0
144,32,10,1,cpu,9.954599663615226e-05,3.7700869143009186e-05,13107200,0
